Bus ID,Date,Hour,Minute,LMP,LMP DA
309,2020-01-02,0,0,21.647258,19.983547
309,2020-01-02,1,0,23.25222,19.034775
309,2020-01-02,2,0,23.069973,19.430296
309,2020-01-02,3,0,23.437807,19.68943
309,2020-01-02,4,0,23.069973,19.983547
309,2020-01-02,5,0,21.116714,21.287879
309,2020-01-02,6,0,22.516066,22.516066
309,2020-01-02,7,0,1023.069973,-0.0
309,2020-01-02,8,0,16.970947,-0.0
309,2020-01-02,9,0,0.0,-0.0
309,2020-01-02,10,0,0.0,-0.0
309,2020-01-02,11,0,0.0,-0.0
309,2020-01-02,12,0,0.0,-0.0
309,2020-01-02,13,0,0.0,-0.0
309,2020-01-02,14,0,0.0,-0.0
309,2020-01-02,15,0,0.0,-0.0
309,2020-01-02,16,0,0.0,21.116411
309,2020-01-02,17,0,34.40737,24.617414
309,2020-01-02,18,0,35.520065,24.617414
309,2020-01-02,19,0,33.921254,23.437807
309,2020-01-02,20,0,33.267626,23.657594
309,2020-01-02,21,0,31.205932,21.843654
309,2020-01-02,22,0,0.0,-0.0
309,2020-01-02,23,0,0.0,-0.0
309,2020-01-03,0,0,18.861019,0.0
309,2020-01-03,1,0,26.414329,0.0
309,2020-01-03,2,0,28.742776,0.0
309,2020-01-03,3,0,18.861019,0.0
309,2020-01-03,4,0,21.116714,0.0
309,2020-01-03,5,0,30.729141,31.012232
309,2020-01-03,6,0,35.234466,34.19714
309,2020-01-03,7,0,34.888412,0.0
309,2020-01-03,8,0,0.0,0.0
309,2020-01-03,9,0,0.0,0.0
309,2020-01-03,10,0,0.0,0.0
309,2020-01-03,11,0,0.0,0.0
309,2020-01-03,12,0,0.0,0.0
309,2020-01-03,13,0,0.0,0.0
309,2020-01-03,14,0,0.0,0.0
309,2020-01-03,15,0,0.0,18.573789
309,2020-01-03,16,0,-0.0,35.051431
309,2020-01-03,17,0,18.573789,27.755129
309,2020-01-03,18,0,19.685338,26.790897
309,2020-01-03,19,0,20.846138,24.617414
309,2020-01-03,20,0,22.516066,21.116714
309,2020-01-03,21,0,22.732362,19.034775
309,2020-01-03,22,0,23.069973,0.0
309,2020-01-03,23,0,23.069973,19.685338
309,2020-01-04,0,0,25.9087,22.96816
309,2020-01-04,1,0,24.617414,23.128644
309,2020-01-04,2,0,24.617414,24.617414
309,2020-01-04,3,0,23.657594,23.657594
309,2020-01-04,4,0,23.657594,23.128644
309,2020-01-04,5,0,24.617414,24.617414
309,2020-01-04,6,0,26.324557,26.324557
309,2020-01-04,7,0,25.9087,21.116411
309,2020-01-04,8,0,21.474047,19.430296
309,2020-01-04,9,0,19.685338,0.0
309,2020-01-04,10,0,0.0,0.0
309,2020-01-04,11,0,0.0,0.0
309,2020-01-04,12,0,-0.0,0.0
309,2020-01-04,13,0,-0.0,0.0
309,2020-01-04,14,0,0.0,0.0
309,2020-01-04,15,0,0.0,0.0
309,2020-01-04,16,0,0.0,23.128644
309,2020-01-04,17,0,30.221736,24.617414
309,2020-01-04,18,0,35.520065,23.069973
309,2020-01-04,19,0,71.612041,34.489041
309,2020-01-04,20,0,31.205932,32.078822
309,2020-01-04,21,0,16.73208,17.30754
309,2020-01-04,22,0,33.267626,17.30754
309,2020-01-04,23,0,20.760438,16.73208
309,2020-01-05,0,0,35.520065,31.012232
309,2020-01-05,1,0,33.267626,0.0
309,2020-01-05,2,0,32.078822,24.166237
309,2020-01-05,3,0,32.078822,16.579344
309,2020-01-05,4,0,30.31046,23.294334
309,2020-01-05,5,0,0.0,31.012232
309,2020-01-05,6,0,16.579344,32.078822
309,2020-01-05,7,0,16.579344,0.0
309,2020-01-05,8,0,0.0,0.0
309,2020-01-05,9,0,0.0,0.0
309,2020-01-05,10,0,0.0,0.0
309,2020-01-05,11,0,-0.0,0.0
309,2020-01-05,12,0,-0.0,0.0
309,2020-01-05,13,0,0.0,0.0
309,2020-01-05,14,0,-0.0,0.0
309,2020-01-05,15,0,-0.0,0.0
309,2020-01-05,16,0,0.0,21.843654
309,2020-01-05,17,0,0.0,26.790897
309,2020-01-05,18,0,-0.0,26.790897
309,2020-01-05,19,0,0.0,26.404825
309,2020-01-05,20,0,0.0,23.069973
