Year,Month,Day,Hour,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,1,1,0,0.9786468869408854,0.9771096650398365,0.9710153482880755,0.9807638402242467
2020,1,1,1,0.981568891885817,0.9717286113544403,0.9438508461235733,0.9810791871058164
2020,1,1,2,0.983985165205664,0.9176156509406417,0.906404958677686,0.9815346881569725
2020,1,1,3,0.9819060463025399,0.9396091436199058,0.9056867375049193,0.9780892314879701
2020,1,1,4,0.9806136210384354,0.968036958244692,0.9634691066509249,0.977038075216071
2020,1,1,5,0.9820746235109014,0.9518833687898886,0.9634986225895317,0.9770497547302032
2020,1,1,6,0.982748932344347,0.9742627122179117,0.9316706021251476,0.9703457136183136
2020,1,1,7,0.9849966284558328,0.9770992366412214,0.8912829594647776,0.9721326792805419
2020,1,1,8,0.9769049224544841,0.9495369791014892,0.7425914994096813,0.9245269796776454
2020,1,1,9,0.9639806698134412,0.8775914570558544,0.42697756788665886,0.8061434244335435
2020,1,1,10,0.8597437626432906,0.7401451633087222,0.19928177882723336,0.6249240831581407
2020,1,1,11,0.15610249494268374,0.5109185333500188,0.17326839826839827,0.34752394300397105
2020,1,1,12,0.014834794335805796,0.20037125099069783,0.11851633215269577,0.13888110254613406
2020,1,1,13,0.008878399640368621,0.02996078922120719,0.06150137741046832,0.04767577668768979
2020,1,1,14,0.023432231962238703,0.09114420389604971,0.10609012199921292,0.15303667367437515
2020,1,1,15,0.014216677905147223,0.12805030659491928,0.1782270759543487,0.3155337537958421
2020,1,1,16,0.019835918183861538,0.17420639886539024,0.19712711530893348,0.49505956552207425
2020,1,1,17,0.0609125646212632,0.1310641137946857,0.3475600157418339,0.5876430740481196
2020,1,1,18,0.23274893234434701,0.1965857422934134,0.40002951593860686,0.46725064237327724
2020,1,1,19,0.25348392897280286,0.3140407958953823,0.37344549390003934,0.5303433777154871
2020,1,1,20,0.06883569341425039,0.3883431360280315,0.3485242030696576,0.6573113758467647
2020,1,1,21,0.011350865363002921,0.4729591623910232,0.3099271940181031,0.6735809390329361
2020,1,1,22,0.006743088334457181,0.4143202769782672,0.1612357339630067,0.6540294323756132
2020,1,1,23,0.005619240278714317,0.6194051641429942,0.06414797323888233,0.7388694230320018
2020,1,2,0,0.007866936390200046,0.5213677887623577,0.017355371900826446,0.8159074982480728
2020,1,2,1,0.1025511350865363,0.29267300713302463,0.009110586383313656,0.6481663162812428
2020,1,2,2,0.12969206563272645,0.25136612021857924,0.01617473435655254,0.5645643541228684
2020,1,2,3,0.175432681501461,0.22452342218328952,0.021831955922865014,0.5638986218173324
2020,1,2,4,0.16160935041582378,0.5470842197472157,0.03252656434474616,0.7774585377248305
2020,1,2,5,0.05962013935715891,0.7423872690109706,0.02610192837465565,0.9428638168652185
2020,1,2,6,0.03017532029669589,0.7524506736745504,0.03400236127508855,0.9489371642139688
2020,1,2,7,0.02213980669813441,0.7462874900930213,0.051318378591105863,0.9041345480028031
2020,1,2,8,0.006743088334457181,0.8780711633921494,0.05370916961826053,0.9743284279373979
2020,1,2,9,0.006743088334457181,0.915853251574688,0.04059425423061787,0.985026862882504
2020,1,2,10,0.006237356709372893,0.8531994326951152,0.06255411255411257,0.9815230086428404
2020,1,2,11,0.00601258709822432,0.7180682434405372,0.11488587170405352,0.9765708946507825
2020,1,2,12,0.005225893459204316,0.6209381387394152,0.138370720188902,0.9752160710114458
2020,1,2,13,0.006574511126095751,0.6207712843615735,0.07817788272333727,0.9539009577201588
2020,1,2,14,0.006124971903798606,0.7744024527593542,0.1933392365210547,0.9682083625321186
2020,1,2,15,0.012193751404810068,0.7665290118049471,0.37185163321526954,0.9843961691193647
2020,1,2,16,0.009440323668240054,0.6587097985233388,0.6979142070051161,0.9843377715487035
2020,1,2,17,0.006855473140031466,0.7941016977432945,0.911944116489571,0.9839990656388695
2020,1,2,18,0.023937963587322995,0.8870291578025278,0.8427882723337269,0.9827960756832516
2020,1,2,19,0.10271971229489772,0.8596128978434071,0.7348288075560803,0.9820135482363933
2020,1,2,20,0.3099011013710946,0.8837129270429234,0.704909484454939,0.9675543097407148
2020,1,2,21,0.4993818835693413,0.9520815083635757,0.7016922471467927,0.9521490306003271
2020,1,2,22,0.47257810743987405,0.9333521044508405,0.5538272333726879,0.8712333566923616
2020,1,2,23,0.22021802652281408,0.835992574980186,0.540495867768595,0.857276337304368
2020,1,3,0,0.6167116205888963,0.8966649981228882,0.7200511609602519,0.9400724129876197
2020,1,3,1,0.3117554506630703,0.825908313519376,0.8669027941755215,0.9139570193879935
2020,1,3,2,0.3619352663519892,0.7654653151462061,0.551879181424636,0.8189208128941837
2020,1,3,3,0.39160485502360076,0.7879697993576106,0.2436835891381346,0.8544498948843727
2020,1,3,4,0.5251741964486402,0.7849247069619989,0.3355765446674538,0.8700420462508759
2020,1,3,5,0.5600134861766689,0.7852584157176824,0.8136068476977568,0.9273183835552441
2020,1,3,6,0.4739829175095527,0.735222959162391,0.8565623770169225,0.9585143658023826
2020,1,3,7,0.50118004045853,0.7052204563467234,0.8349370326643053,0.9255898154636767
2020,1,3,8,0.5157900651831872,0.7068577149292955,0.7767611176702085,0.9175659892548469
2020,1,3,9,0.38452461227242074,0.6851666458098694,0.6941263282172374,0.922366269563186
2020,1,3,10,0.48213081591368845,0.6133566929462312,0.6240358126721762,0.9065171688857745
2020,1,3,11,0.4149808945830523,0.4337066700037542,0.7083726879181425,0.8814529315580472
2020,1,3,12,0.5400089907844459,0.3875401493346682,0.8507083825265644,0.8146110721793973
