DateTime,wind_gen_mw,wind_to_grid_mw,wind_to_batt_mw,batt_to_grid_mw,elec_revenue,lmp,soc,batt_cap
2020-02-23 01:00:00,5.399999999999988,0.0,5.399999999999988,0.0,-727.9566210045663,20.846138,43082.49639071984,23.691248195359915
2020-02-23 02:00:00,3.199999999999988,0.0,3.199999999999988,0.0,-727.9566210045663,19.983547,46282.496390719825,23.691248195359915
2020-02-23 03:00:00,1.1,0.0,1.1,0.0,-727.9566210045663,21.116411,47382.496390719825,23.691248195359915
2020-02-23 04:00:00,0.0,0.0,0.0,0.0,-727.9566210045663,21.116714,47382.496390719825,23.691248195359915
2020-02-23 05:00:00,7.399999999999994,7.399999999999994,0.0,23.691248195359915,606.4280157032837,42.918336,23691.248195359913,23.691248195359915
2020-02-23 06:00:00,24.69999999999999,24.69999999999999,0.0,23.691248195359915,462.860827971641,24.608116,0.0,23.691248195359915
2020-02-23 07:00:00,14.399999999999999,14.399999999999999,0.0,0.0,-440.1935442045663,19.983547,0.0,23.691248195359915
2020-02-23 08:00:00,0.0,0.0,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-23 09:00:00,0.19999999999999463,0.0,0.19999999999999463,0.0,-727.9566210045663,-0.0,199.99999999999463,23.691248195359915
2020-02-23 10:00:00,0.0,0.0,0.0,0.0,-727.9566210045663,-0.0,199.99999999999463,23.691248195359915
2020-02-23 11:00:00,0.0,0.0,0.0,0.0,-727.9566210045663,-0.0,199.99999999999463,23.691248195359915
2020-02-23 12:00:00,0.0,0.0,0.0,0.0,-727.9566210045663,-0.0,199.99999999999463,23.691248195359915
2020-02-23 13:00:00,0.39999999999998925,0.0,0.39999999999998925,0.0,-727.9566210045663,-0.0,599.9999999999839,23.691248195359915
2020-02-23 14:00:00,7.699999999999986,0.0,7.699999999999986,0.0,-727.9566210045663,18.861019,8299.999999999969,23.691248195359915
2020-02-23 15:00:00,45.2,21.508751804640088,23.691248195359915,0.0,-727.9566210045663,-0.0,31991.248195359884,23.691248195359915
2020-02-23 16:00:00,73.79999999999998,50.10875180464007,23.691248195359915,0.0,217.14549884903442,18.861019,55682.496390719796,23.691248195359915
2020-02-23 17:00:00,40.099999999999994,40.099999999999994,0.0,23.691248195359915,4140.882137983328,76.324557,31991.248195359884,23.691248195359915
2020-02-23 18:00:00,51.4,51.4,0.0,23.691248195359915,4307.712794112562,67.06067,8299.99999999997,23.691248195359915
2020-02-23 19:00:00,105.1,89.70875180464006,15.391248195359942,0.0,1064.742436994793,19.983547,23691.248195359913,23.691248195359915
2020-02-23 20:00:00,94.3,94.3,0.0,0.0,1237.8341923954335,20.846138,23691.248195359913,23.691248195359915
2020-02-23 21:00:00,9.099999999999993,9.099999999999993,0.0,23.691248195359915,635.8002397546667,41.58905,0.0,23.691248195359915
2020-02-23 22:00:00,24.19999999999999,24.19999999999999,0.0,0.0,-271.51996120456647,18.861019,0.0,23.691248195359915
2020-02-23 23:00:00,67.1,67.1,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-24 00:00:00,23.39999999999999,23.39999999999999,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-24 01:00:00,43.5,19.808751804640096,23.691248195359904,0.0,-727.9566210045663,-0.0,23691.248195359905,23.691248195359915
2020-02-24 02:00:00,104.6,80.90875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,47382.49639071982,23.691248195359915
2020-02-24 03:00:00,123.1,99.40875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,71073.74458607973,23.691248195359915
2020-02-24 04:00:00,111.9,111.9,0.0,23.691248195359915,5162.3220452255255,43.441437,47382.496390719825,23.691248195359915
2020-02-24 05:00:00,95.7,95.7,0.0,23.691248195359915,12803.992509824086,113.341215,23691.248195359913,23.691248195359915
2020-02-24 06:00:00,127.29999999999998,127.29999999999998,0.0,23.691248195359915,3848.657567770962,30.310460000000003,0.0,23.691248195359915
2020-02-24 07:00:00,125.29999999999998,125.29999999999998,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-24 08:00:00,124.79999999999998,124.79999999999998,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-24 09:00:00,144.99999999999997,131.96021774663927,13.03978225336069,0.0,-727.9566210045663,-0.0,13039.782253360689,23.691248195359915
2020-02-24 10:00:00,145.80000000000004,122.10875180464011,23.691248195359915,0.0,-727.9566210045663,-0.0,36731.0304487206,23.691248195359915
2020-02-24 11:00:00,128.7,105.00875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,60422.278644080514,23.691248195359915
2020-02-24 12:00:00,45.2,21.508751804640088,23.691248195359915,0.0,-727.9566210045663,-0.0,84113.52683944043,23.691248195359915
2020-02-24 13:00:00,8.999999999999995,0.0,8.999999999999995,0.0,-727.9566210045663,-0.0,93113.52683944043,23.691248195359915
2020-02-24 14:00:00,28.6,28.6,0.0,23.691248195359915,622.9481916476731,25.834243,69422.27864408054,23.691248195359915
2020-02-24 15:00:00,74.69999999999999,51.00875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,93113.52683944044,23.691248195359915
2020-02-24 16:00:00,115.49999999999999,115.49999999999999,0.0,0.0,1451.1368339954338,18.86661,93113.52683944044,23.691248195359915
2020-02-24 17:00:00,46.5,46.5,0.0,23.691248195359915,7574.212695166431,118.279266,69422.27864408054,23.691248195359915
2020-02-24 18:00:00,0.0,0.0,0.0,23.691248195359915,1090.478377638025,76.755559,45731.03044872062,23.691248195359915
2020-02-24 19:00:00,0.0,0.0,0.0,23.691248195359915,39.15249154971639,32.37943,22039.78225336071,23.691248195359915
2020-02-24 20:00:00,0.0,0.0,0.0,22.039782253360713,-230.3700331353516,22.576747,0.0,23.691248195359915
2020-02-24 21:00:00,0.0,0.0,0.0,0.0,-727.9566210045663,20.846138,0.0,23.691248195359915
2020-02-24 22:00:00,3.499999999999995,3.499999999999995,0.0,0.0,-661.3349085045663,19.034775,0.0,23.691248195359915
2020-02-24 23:00:00,89.69999999999999,89.69999999999999,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-25 00:00:00,123.6,123.6,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-25 01:00:00,107.49999999999999,107.49999999999999,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-25 02:00:00,115.0,91.3087518046401,23.691248195359904,0.0,-727.9566210045663,-0.0,23691.248195359905,23.691248195359915
2020-02-25 03:00:00,107.1,83.40875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,47382.49639071982,23.691248195359915
2020-02-25 04:00:00,103.99999999999999,80.30875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,71073.74458607973,23.691248195359915
2020-02-25 05:00:00,103.99999999999999,103.99999999999999,0.0,23.691248195359915,5809.9685962609765,51.201044,47382.496390719825,23.691248195359915
2020-02-25 06:00:00,57.29999999999999,57.29999999999999,0.0,23.691248195359915,5045.759952998473,71.288154,23691.248195359913,23.691248195359915
2020-02-25 07:00:00,20.499999999999996,20.499999999999996,0.0,23.691248195359915,351.8241806553739,24.434268,0.0,23.691248195359915
2020-02-25 08:00:00,2.8999999999999964,2.8999999999999964,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-25 09:00:00,12.099999999999985,12.099999999999985,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-25 10:00:00,36.5,36.5,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-25 11:00:00,78.99999999999999,78.99999999999999,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-25 12:00:00,117.69999999999999,94.00875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,23691.248195359913,23.691248195359915
2020-02-25 13:00:00,126.29999999999998,104.2947798498759,22.005220150124092,0.0,-727.9566210045663,-0.0,45696.468345484005,23.691248195359915
2020-02-25 14:00:00,116.7,93.00875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,69387.71654084392,23.691248195359915
2020-02-25 15:00:00,111.9,88.20875180464009,23.691248195359915,0.0,-727.9566210045663,-0.0,93078.96473620382,23.691248195359915
2020-02-25 16:00:00,78.9,78.9,0.0,22.005220150124092,2420.884817445236,31.205932,71073.74458607973,23.691248195359915
2020-02-25 17:00:00,39.49999999999999,39.49999999999999,0.0,0.0,485.8444484954333,30.729141,71073.74458607973,23.691248195359915
2020-02-25 18:00:00,148.3,148.3,0.0,23.691248195359915,18567.944463705735,112.19118,47382.496390719825,23.691248195359915
2020-02-25 19:00:00,137.1,137.1,0.0,23.691248195359915,17230.371372638943,111.687223,23691.248195359913,23.691248195359915
2020-02-25 20:00:00,142.99999999999997,142.99999999999997,0.0,23.691248195359915,5534.409373966282,37.568655,0.0,23.691248195359915
2020-02-25 21:00:00,147.3,147.3,0.0,0.0,3840.145152595434,31.012232,0.0,23.691248195359915
2020-02-25 22:00:00,144.4,122.41437335892469,21.985626641075317,0.0,738.8070143496415,11.981956,21985.626641075316,23.691248195359915
2020-02-25 23:00:00,145.39999999999998,121.70875180464006,23.691248195359915,0.0,-404.66239383841173,2.656294,45676.87483643523,23.691248195359915
2020-02-26 00:00:00,142.4,118.70875180464009,23.691248195359915,0.0,-727.9566210045663,-0.0,69368.12303179514,23.691248195359915
2020-02-26 01:00:00,141.09999999999997,117.40875180464005,23.691248195359915,0.0,-727.9566210045663,-0.0,93059.37122715506,23.691248195359915
2020-02-26 02:00:00,141.9,141.9,0.0,0.004988156268111197,3263.674600344284,28.1289,93054.38307088695,23.691248195359915
2020-02-26 03:00:00,112.2,112.2,0.0,23.691248195359915,3631.2745412122053,32.078822,69363.13487552703,23.691248195359915
2020-02-26 04:00:00,46.099999999999994,22.40875180464008,23.691248195359915,0.0,-270.8180169636531,20.400003,93054.38307088695,23.691248195359915
2020-02-26 05:00:00,3.499999999999995,3.499999999999995,0.0,23.691248195359915,703.5182109532155,52.644690000000004,69363.13487552703,23.691248195359915
2020-02-26 06:00:00,1.9999999999999907,1.9999999999999907,0.0,23.691248195359915,1149.3021909666809,73.069973,45671.88668016712,23.691248195359915
2020-02-26 07:00:00,4.699999999999993,0.0,4.699999999999993,0.0,-727.9566210045663,20.846138,50371.88668016711,23.691248195359915
2020-02-26 08:00:00,3.199999999999988,0.0,3.199999999999988,0.0,-727.9566210045663,-0.0,53571.886680167096,23.691248195359915
2020-02-26 09:00:00,0.4999999999999865,0.0,0.4999999999999865,0.0,-727.9566210045663,10.020111,54071.88668016708,23.691248195359915
2020-02-26 10:00:00,4.4,0.0,4.4,0.0,-727.9566210045663,-0.0,58471.88668016708,23.691248195359915
2020-02-26 11:00:00,2.299999999999997,0.0,2.299999999999997,0.0,-727.9566210045663,-0.0,60771.88668016708,23.691248195359915
2020-02-26 12:00:00,0.09999999999999731,0.0,0.09999999999999731,0.0,-727.9566210045663,-0.0,60871.88668016708,23.691248195359915
2020-02-26 13:00:00,0.29999999999999194,0.0,0.29999999999999194,0.0,-727.9566210045663,-0.0,61171.886680167074,23.691248195359915
2020-02-26 14:00:00,0.29999999999999194,0.0,0.29999999999999194,0.0,-727.9566210045663,18.861019,61471.88668016707,23.691248195359915
2020-02-26 15:00:00,0.0,0.0,0.0,0.0,-727.9566210045663,19.983547,61471.88668016707,23.691248195359915
2020-02-26 16:00:00,0.5999999999999988,0.0,0.5999999999999988,0.0,-727.9566210045663,21.647258,62071.88668016707,23.691248195359915
2020-02-26 17:00:00,31.299999999999986,31.299999999999986,0.0,23.691248195359915,3375.3481119653557,74.617414,38380.638484807154,23.691248195359915
2020-02-26 18:00:00,25.999999999999996,25.999999999999996,0.0,23.691248195359915,3087.8789009667516,76.790897,14689.390289447241,23.691248195359915
2020-02-26 19:00:00,20.29999999999999,20.29999999999999,0.0,14.68939028944724,607.2197581275449,38.15946400000001,0.0,23.691248195359915
2020-02-26 20:00:00,76.7,76.7,0.0,0.0,932.3880675954339,21.647258,0.0,23.691248195359915
2020-02-26 21:00:00,86.79999999999998,86.79999999999998,0.0,0.0,1042.7636393954335,20.400003,0.0,23.691248195359915
2020-02-26 22:00:00,148.0,124.30875180464008,23.691248195359915,0.0,1638.2325001276017,19.034775,23691.248195359913,23.691248195359915
2020-02-26 23:00:00,148.0,148.0,0.0,0.0,2229.608334995434,19.983547,23691.248195359913,23.691248195359915
2020-02-27 00:00:00,148.19999999999996,148.19999999999996,0.0,0.0,2151.613246195433,19.430296,23691.248195359913,23.691248195359915
2020-02-27 01:00:00,148.3,124.60875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,47382.496390719825,23.691248195359915
2020-02-27 02:00:00,147.3,123.60875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,71073.74458607973,23.691248195359915
2020-02-27 03:00:00,144.19999999999996,144.19999999999996,0.0,0.0,2016.857933995433,19.034775,71073.74458607973,23.691248195359915
2020-02-27 04:00:00,137.69999999999993,137.69999999999993,0.0,23.691248195359915,2636.427610868156,20.846138,47382.496390719825,23.691248195359915
2020-02-27 05:00:00,82.8,82.8,0.0,23.691248195359915,2932.299861954873,34.37143,23691.248195359913,23.691248195359915
2020-02-27 06:00:00,57.399999999999984,57.399999999999984,0.0,23.691248195359915,4768.590474802871,67.78224800000001,0.0,23.691248195359915
2020-02-27 07:00:00,120.7,120.7,0.0,0.0,1648.5575799954336,19.68943,0.0,23.691248195359915
2020-02-27 08:00:00,87.2,87.2,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-27 09:00:00,125.1,125.1,0.0,0.0,-727.9566210045663,-0.0,0.0,23.691248195359915
2020-02-27 10:00:00,89.89999999999999,67.95736343660252,21.942636563397464,0.0,-727.9566210045663,-0.0,21942.636563397464,23.691248195359915
2020-02-27 11:00:00,131.5,131.5,0.0,0.0,-727.9566210045663,-0.0,21942.636563397464,23.691248195359915
2020-02-27 12:00:00,144.4,120.70875180464009,23.691248195359915,0.0,-727.9566210045663,-0.0,45633.88475875738,23.691248195359915
2020-02-27 13:00:00,109.69999999999999,86.00875180464008,23.691248195359915,0.0,-727.9566210045663,-0.0,69325.13295411729,23.691248195359915
2020-02-27 14:00:00,73.59999999999998,49.908751804640076,23.691248195359915,0.0,-727.9566210045663,-0.0,93016.38114947721,23.691248195359915
2020-02-27 15:00:00,50.39999999999999,50.39999999999999,0.0,0.0,575.5954805954335,25.864129,93016.38114947721,23.691248195359915
