sim_id,battery_energy_capacity,battery_pmax,n_scenario,participation_mode,reserve_factor,wind_pmax
105,480.0,120.0,3,SelfSchedule,0.0,150.0
106,480.0,120.0,5,Bid,0.0,150.0
107,480.0,120.0,5,SelfSchedule,0.0,150.0
108,480.0,120.0,8,Bid,0.0,150.0
109,480.0,120.0,8,SelfSchedule,0.0,150.0
110,480.0,120.0,10,Bid,0.0,150.0
111,480.0,120.0,10,SelfSchedule,0.0,150.0
112,600.0,150.0,3,Bid,0.0,150.0
113,600.0,150.0,3,SelfSchedule,0.0,150.0
114,600.0,150.0,5,Bid,0.0,150.0
115,600.0,150.0,5,SelfSchedule,0.0,150.0
116,600.0,150.0,8,Bid,0.0,150.0
117,600.0,150.0,8,SelfSchedule,0.0,150.0
118,600.0,150.0,10,Bid,0.0,150.0
119,600.0,150.0,10,SelfSchedule,0.0,150.0
120,160.0,40.0,3,Bid,0.0,200.0
121,160.0,40.0,3,SelfSchedule,0.0,200.0
122,160.0,40.0,5,Bid,0.0,200.0
123,160.0,40.0,5,SelfSchedule,0.0,200.0
124,160.0,40.0,8,Bid,0.0,200.0
125,160.0,40.0,8,SelfSchedule,0.0,200.0
126,160.0,40.0,10,Bid,0.0,200.0
127,160.0,40.0,10,SelfSchedule,0.0,200.0
128,320.0,80.0,3,Bid,0.0,200.0
129,320.0,80.0,3,SelfSchedule,0.0,200.0
130,320.0,80.0,5,Bid,0.0,200.0
131,320.0,80.0,5,SelfSchedule,0.0,200.0
132,320.0,80.0,8,Bid,0.0,200.0
133,320.0,80.0,8,SelfSchedule,0.0,200.0
134,320.0,80.0,10,Bid,0.0,200.0
135,320.0,80.0,10,SelfSchedule,0.0,200.0
136,480.0,120.0,3,Bid,0.0,200.0
137,480.0,120.0,3,SelfSchedule,0.0,200.0
138,480.0,120.0,5,Bid,0.0,200.0
139,480.0,120.0,5,SelfSchedule,0.0,200.0
140,480.0,120.0,8,Bid,0.0,200.0
141,480.0,120.0,8,SelfSchedule,0.0,200.0
142,480.0,120.0,10,Bid,0.0,200.0
143,480.0,120.0,10,SelfSchedule,0.0,200.0
144,640.0,160.0,3,Bid,0.0,200.0
145,640.0,160.0,3,SelfSchedule,0.0,200.0
146,640.0,160.0,5,Bid,0.0,200.0
147,640.0,160.0,5,SelfSchedule,0.0,200.0
148,640.0,160.0,8,Bid,0.0,200.0
149,640.0,160.0,8,SelfSchedule,0.0,200.0
150,640.0,160.0,10,Bid,0.0,200.0
151,640.0,160.0,10,SelfSchedule,0.0,200.0
152,800.0,200.0,3,Bid,0.0,200.0
153,800.0,200.0,3,SelfSchedule,0.0,200.0
154,800.0,200.0,5,Bid,0.0,200.0
155,800.0,200.0,5,SelfSchedule,0.0,200.0
156,800.0,200.0,8,Bid,0.0,200.0
157,800.0,200.0,8,SelfSchedule,0.0,200.0
158,800.0,200.0,10,Bid,0.0,200.0
159,800.0,200.0,10,SelfSchedule,0.0,200.0
160,200.0,50.0,3,Bid,0.0,250.0
161,200.0,50.0,3,SelfSchedule,0.0,250.0
162,200.0,50.0,5,Bid,0.0,250.0
163,200.0,50.0,5,SelfSchedule,0.0,250.0
164,200.0,50.0,8,Bid,0.0,250.0
165,200.0,50.0,8,SelfSchedule,0.0,250.0
166,200.0,50.0,10,Bid,0.0,250.0
167,200.0,50.0,10,SelfSchedule,0.0,250.0
168,400.0,100.0,3,Bid,0.0,250.0
169,400.0,100.0,3,SelfSchedule,0.0,250.0
170,400.0,100.0,5,Bid,0.0,250.0
171,400.0,100.0,5,SelfSchedule,0.0,250.0
172,400.0,100.0,8,Bid,0.0,250.0
173,400.0,100.0,8,SelfSchedule,0.0,250.0
174,400.0,100.0,10,Bid,0.0,250.0
175,400.0,100.0,10,SelfSchedule,0.0,250.0
176,600.0,150.0,3,Bid,0.0,250.0
177,600.0,150.0,3,SelfSchedule,0.0,250.0
178,600.0,150.0,5,Bid,0.0,250.0
179,600.0,150.0,5,SelfSchedule,0.0,250.0
180,600.0,150.0,8,Bid,0.0,250.0
