"Eastern Date Hour","Gen Name","Gen PTID","DAM Gen LBMP","DAM Gen Losses","DAM Gen Congestion","DAM Gen Price Version"
"2020/01/01 12:00:00","NINE_MILE_1","23575","12.21","-0.33","-0.29","1"
"2020/01/01 12:00:00","NINE_MILE_2","23744","12.21","-0.33","-0.29","1"
"2020/01/01 13:00:00","GINNA____","23603","11.31","-0.66","-0.67","1"
"2020/01/01 13:00:00","INDIAN POINT___2","23530","17.8","0.91","-5.59","1"
"2020/01/01 13:00:00","INDIAN POINT___3","23531","17.87","0.91","-5.67","1"
"2020/01/01 13:00:00","NINE_MILE_1","23575","11.36","-0.29","-0.36","1"
"2020/01/01 13:00:00","NINE_MILE_2","23744","11.36","-0.29","-0.36","1"
"2020/01/01 14:00:00","GINNA____","23603","10.94","-0.63","-0.79","1"
"2020/01/01 14:00:00","INDIAN POINT___2","23530","18.22","0.88","-6.56","1"
"2020/01/01 14:00:00","INDIAN POINT___3","23531","18.3","0.87","-6.65","1"
"2020/01/01 14:00:00","NINE_MILE_1","23575","10.92","-0.28","-0.42","1"
"2020/01/01 14:00:00","NINE_MILE_2","23744","10.92","-0.28","-0.42","1"
"2020/01/01 15:00:00","GINNA____","23603","11.97","-0.68","-0.73","1"
"2020/01/01 15:00:00","INDIAN POINT___2","23530","18.93","0.97","-6.03","1"
"2020/01/01 15:00:00","INDIAN POINT___3","23531","19.01","0.97","-6.12","1"
"2020/01/01 15:00:00","NINE_MILE_1","23575","12.01","-0.31","-0.39","1"
"2020/01/01 15:00:00","NINE_MILE_2","23744","12.01","-0.31","-0.39","1"
"2020/01/01 16:00:00","GINNA____","23603","14.49","-0.88","-0.75","1"
"2020/01/01 16:00:00","INDIAN POINT___2","23530","22.13","1.3","-6.2","1"
"2020/01/01 16:00:00","INDIAN POINT___3","23531","22.2","1.29","-6.29","1"
"2020/01/01 16:00:00","NINE_MILE_1","23575","14.65","-0.38","-0.4","1"
"2020/01/01 16:00:00","NINE_MILE_2","23744","14.64","-0.38","-0.4","1"
"2020/01/01 17:00:00","GINNA____","23603","15.85","-0.78","-1.29","1"
"2020/01/01 17:00:00","INDIAN POINT___2","23530","27.44","1.35","-10.75","1"
"2020/01/01 17:00:00","INDIAN POINT___3","23531","27.59","1.35","-10.9","1"
"2020/01/01 17:00:00","NINE_MILE_1","23575","15.68","-0.35","-0.69","1"
"2020/01/01 17:00:00","NINE_MILE_2","23744","15.68","-0.35","-0.69","1"
"2020/01/01 18:00:00","GINNA____","23603","15.53","-0.86","-1.06","1"
"2020/01/01 18:00:00","INDIAN POINT___2","23530","25.51","1.36","-8.82","1"
"2020/01/01 18:00:00","INDIAN POINT___3","23531","25.63","1.36","-8.94","1"
"2020/01/01 18:00:00","NINE_MILE_1","23575","15.53","-0.37","-0.57","1"
"2020/01/01 18:00:00","NINE_MILE_2","23744","15.53","-0.37","-0.57","1"
"2020/01/01 19:00:00","GINNA____","23603","15.26","-0.87","-0.82","1"
"2020/01/01 19:00:00","INDIAN POINT___2","23530","23.46","1.32","-6.84","1"
"2020/01/01 19:00:00","INDIAN POINT___3","23531","23.55","1.32","-6.93","1"
"2020/01/01 19:00:00","NINE_MILE_1","23575","15.38","-0.37","-0.44","1"
"2020/01/01 19:00:00","NINE_MILE_2","23744","15.38","-0.37","-0.44","1"
"2020/01/01 20:00:00","GINNA____","23603","14.53","-0.84","-0.7","1"
"2020/01/01 20:00:00","INDIAN POINT___2","23530","21.74","1.29","-5.78","1"
"2020/01/01 20:00:00","INDIAN POINT___3","23531","21.8","1.28","-5.86","1"
"2020/01/01 20:00:00","NINE_MILE_1","23575","14.68","-0.37","-0.37","1"
"2020/01/01 20:00:00","NINE_MILE_2","23744","14.68","-0.37","-0.37","1"
"2020/01/01 21:00:00","GINNA____","23603","14.29","-0.92","-0.57","1"
"2020/01/01 21:00:00","INDIAN POINT___2","23530","20.65","1.24","-4.77","1"
"2020/01/01 21:00:00","INDIAN POINT___3","23531","20.7","1.23","-4.83","1"
"2020/01/01 21:00:00","NINE_MILE_1","23575","14.57","-0.38","-0.31","1"
"2020/01/01 21:00:00","NINE_MILE_2","23744","14.57","-0.38","-0.31","1"
"2020/01/01 22:00:00","GINNA____","23603","11.3","-0.69","-0.85","1"
"2020/01/01 22:00:00","INDIAN POINT___2","23530","19.08","0.87","-7.07","1"
"2020/01/01 22:00:00","INDIAN POINT___3","23531","19.17","0.87","-7.16","1"
"2020/01/01 22:00:00","NINE_MILE_1","23575","11.32","-0.28","-0.46","1"
"2020/01/01 22:00:00","NINE_MILE_2","23744","11.32","-0.28","-0.46","1"
"2020/01/01 23:00:00","GINNA____","23603","8.11","-0.43","-1.23","1"
"2020/01/01 23:00:00","INDIAN POINT___2","23530","18.08","0.56","-10.22","1"
"2020/01/01 23:00:00","INDIAN POINT___3","23531","18.21","0.55","-10.36","1"
"2020/01/01 23:00:00","NINE_MILE_1","23575","7.79","-0.18","-0.66","1"
"2020/01/01 23:00:00","NINE_MILE_2","23744","7.79","-0.18","-0.66","1"
"2020/01/02 00:00:00","GINNA____","23603","6.35","-0.26","-1.48","1"
"2020/01/02 00:00:00","INDIAN POINT___2","23530","17.76","0.35","-12.29","1"
"2020/01/02 00:00:00","INDIAN POINT___3","23531","17.93","0.35","-12.45","1"
"2020/01/02 00:00:00","NINE_MILE_1","23575","5.8","-0.11","-0.79","1"
"2020/01/02 00:00:00","NINE_MILE_2","23744","5.8","-0.11","-0.79","1"
"2020/01/02 01:00:00","GINNA____","23603","6.1","-0.28","-1.26","1"
"2020/01/02 01:00:00","INDIAN POINT___2","23530","15.94","0.33","-10.5","1"
"2020/01/02 01:00:00","INDIAN POINT___3","23531","16.08","0.33","-10.64","1"
"2020/01/02 01:00:00","NINE_MILE_1","23575","5.67","-0.12","-0.68","1"
"2020/01/02 01:00:00","NINE_MILE_2","23744","5.67","-0.12","-0.68","1"
"2020/01/02 02:00:00","GINNA____","23603","6.01","-0.29","-1.2","1"
"2020/01/02 02:00:00","INDIAN POINT___2","23530","15.38","0.32","-9.95","1"
"2020/01/02 02:00:00","INDIAN POINT___3","23531","15.51","0.32","-10.08","1"
"2020/01/02 02:00:00","NINE_MILE_1","23575","5.63","-0.12","-0.64","1"
"2020/01/02 02:00:00","NINE_MILE_2","23744","5.63","-0.12","-0.64","1"
"2020/01/02 03:00:00","GINNA____","23603","5.91","-0.29","-1.1","1"
"2020/01/02 03:00:00","INDIAN POINT___2","23530","14.53","0.32","-9.11","1"
"2020/01/02 03:00:00","INDIAN POINT___3","23531","14.65","0.32","-9.23","1"
"2020/01/02 03:00:00","NINE_MILE_1","23575","5.56","-0.13","-0.59","1"
"2020/01/02 03:00:00","NINE_MILE_2","23744","5.57","-0.12","-0.59","1"
"2020/01/02 04:00:00","GINNA____","23603","6.03","-0.28","-1.2","1"
"2020/01/02 04:00:00","INDIAN POINT___2","23530","15.38","0.32","-9.95","1"
"2020/01/02 04:00:00","INDIAN POINT___3","23531","15.51","0.32","-10.08","1"
"2020/01/02 04:00:00","NINE_MILE_1","23575","5.63","-0.12","-0.64","1"
"2020/01/02 04:00:00","NINE_MILE_2","23744","5.63","-0.12","-0.64","1"
"2020/01/02 05:00:00","GINNA____","23603","6.58","-0.25","-1.33","1"
"2020/01/02 05:00:00","INDIAN POINT___2","23530","16.89","0.36","-11.02","1"
"2020/01/02 05:00:00","INDIAN POINT___3","23531","17.04","0.36","-11.17","1"
"2020/01/02 05:00:00","NINE_MILE_1","23575","6.1","-0.12","-0.71","1"
"2020/01/02 05:00:00","NINE_MILE_2","23744","6.1","-0.12","-0.71","1"
"2020/01/02 06:00:00","GINNA____","23603","9.24","-0.42","-1.33","1"
"2020/01/02 06:00:00","INDIAN POINT___2","23530","19.98","0.58","-11.07","1"
"2020/01/02 06:00:00","INDIAN POINT___3","23531","20.12","0.57","-11.22","1"
"2020/01/02 06:00:00","NINE_MILE_1","23575","8.87","-0.18","-0.71","1"
"2020/01/02 06:00:00","NINE_MILE_2","23744","8.87","-0.18","-0.71","1"
"2020/01/02 07:00:00","GINNA____","23603","13.77","-0.73","-0.8","1"
"2020/01/02 07:00:00","INDIAN POINT___2","23530","21.45","1.11","-6.65","1"
"2020/01/02 07:00:00","INDIAN POINT___3","23531","21.53","1.1","-6.74","1"
"2020/01/02 07:00:00","NINE_MILE_1","23575","13.81","-0.31","-0.43","1"
"2020/01/02 07:00:00","NINE_MILE_2","23744","13.81","-0.31","-0.43","1"
"2020/01/02 08:00:00","GINNA____","23603","14.9","-0.86","-0.59","1"
"2020/01/02 08:00:00","INDIAN POINT___2","23530","21.43","1.35","-4.91","1"
"2020/01/02 08:00:00","INDIAN POINT___3","23531","21.49","1.35","-4.97","1"
"2020/01/02 08:00:00","NINE_MILE_1","23575","15.12","-0.36","-0.32","1"
"2020/01/02 08:00:00","NINE_MILE_2","23744","15.12","-0.36","-0.32","1"
"2020/01/02 09:00:00","GINNA____","23603","15.05","-0.89","-0.64","1"
"2020/01/02 09:00:00","INDIAN POINT___2","23530","21.99","1.38","-5.31","1"
"2020/01/02 09:00:00","INDIAN POINT___3","23531","22.04","1.36","-5.38","1"
"2020/01/02 09:00:00","NINE_MILE_1","23575","15.28","-0.37","-0.34","1"
"2020/01/02 09:00:00","NINE_MILE_2","23744","15.28","-0.37","-0.34","1"
"2020/01/02 10:00:00","GINNA____","23603","14.93","-0.92","-0.51","1"
"2020/01/02 10:00:00","INDIAN POINT___2","23530","21.06","1.47","-4.24","1"
"2020/01/02 10:00:00","INDIAN POINT___3","23531","21.11","1.47","-4.3","1"
"2020/01/02 10:00:00","NINE_MILE_1","23575","15.18","-0.43","-0.27","1"
"2020/01/02 10:00:00","NINE_MILE_2","23744","15.18","-0.43","-0.27","1"
"2020/01/02 11:00:00","GINNA____","23603","14.59","-0.9","-0.43","1"
"2020/01/02 11:00:00","INDIAN POINT___2","23530","20.09","1.46","-3.57","1"
"2020/01/02 11:00:00","INDIAN POINT___3","23531","20.13","1.46","-3.61","1"
"2020/01/02 11:00:00","NINE_MILE_1","23575","14.85","-0.44","-0.23","1"
"2020/01/02 11:00:00","NINE_MILE_2","23744","14.85","-0.44","-0.23","1"
"2020/01/02 12:00:00","GINNA____","23603","14.25","-0.88","-0.4","1"
"2020/01/02 12:00:00","INDIAN POINT___2","23530","19.49","1.41","-3.35","1"
"2020/01/02 12:00:00","INDIAN POINT___3","23531","19.52","1.4","-3.39","1"
"2020/01/02 12:00:00","NINE_MILE_1","23575","14.52","-0.43","-0.22","1"
"2020/01/02 12:00:00","NINE_MILE_2","23744","14.52","-0.43","-0.22","1"
"2020/01/02 13:00:00","GINNA____","23603","14.21","-0.9","-0.44","1"
"2020/01/02 13:00:00","INDIAN POINT___2","23530","19.66","1.35","-3.64","1"
"2020/01/02 13:00:00","INDIAN POINT___3","23531","19.69","1.33","-3.69","1"
"2020/01/02 13:00:00","NINE_MILE_1","23575","14.47","-0.44","-0.23","1"
"2020/01/02 13:00:00","NINE_MILE_2","23744","14.47","-0.44","-0.23","1"
"2020/01/02 14:00:00","GINNA____","23603","14.19","-0.92","-0.45","1"
"2020/01/02 14:00:00","INDIAN POINT___2","23530","19.77","1.35","-3.77","1"
"2020/01/02 14:00:00","INDIAN POINT___3","23531","19.81","1.33","-3.82","1"
"2020/01/02 14:00:00","NINE_MILE_1","23575","14.46","-0.44","-0.24","1"
"2020/01/02 14:00:00","NINE_MILE_2","23744","14.46","-0.44","-0.24","1"
"2020/01/02 15:00:00","GINNA____","23603","14.32","-0.91","-0.58","1"
"2020/01/02 15:00:00","INDIAN POINT___2","23530","20.8","1.35","-4.8","1"
"2020/01/02 15:00:00","INDIAN POINT___3","23531","20.85","1.33","-4.86","1"
"2020/01/02 15:00:00","NINE_MILE_1","23575","14.53","-0.44","-0.31","1"
"2020/01/02 15:00:00","NINE_MILE_2","23744","14.53","-0.44","-0.31","1"
"2020/01/02 16:00:00","GINNA____","23603","15.15","-0.87","-0.68","1"
"2020/01/02 16:00:00","INDIAN POINT___2","23530","22.45","1.44","-5.67","1"
"2020/01/02 16:00:00","INDIAN POINT___3","23531","22.51","1.43","-5.74","1"
"2020/01/02 16:00:00","NINE_MILE_1","23575","15.26","-0.45","-0.37","1"
"2020/01/02 16:00:00","NINE_MILE_2","23744","15.26","-0.45","-0.37","1"
"2020/01/02 17:00:00","GINNA____","23603","17.68","-0.83","-1.12","1"
"2020/01/02 17:00:00","INDIAN POINT___2","23530","28.4","1.67","-9.34","1"
"2020/01/02 17:00:00","INDIAN POINT___3","23531","28.51","1.65","-9.47","1"
"2020/01/02 17:00:00","NINE_MILE_1","23575","17.54","-0.45","-0.6","1"
"2020/01/02 17:00:00","NINE_MILE_2","23744","17.54","-0.45","-0.6","1"
"2020/01/02 18:00:00","GINNA____","23603","15.69","-0.77","-1.08","1"
"2020/01/02 18:00:00","INDIAN POINT___2","23530","25.77","1.41","-8.99","1"
"2020/01/02 18:00:00","INDIAN POINT___3","23531","25.9","1.41","-9.11","1"
"2020/01/02 18:00:00","NINE_MILE_1","23575","15.55","-0.4","-0.58","1"
"2020/01/02 18:00:00","NINE_MILE_2","23744","15.55","-0.4","-0.58","1"
"2020/01/02 19:00:00","GINNA____","23603","15.15","-0.86","-0.93","1"
"2020/01/02 19:00:00","INDIAN POINT___2","23530","24.18","1.4","-7.69","1"
"2020/01/02 19:00:00","INDIAN POINT___3","23531","24.27","1.39","-7.79","1"
"2020/01/02 19:00:00","NINE_MILE_1","23575","15.18","-0.41","-0.5","1"
"2020/01/02 19:00:00","NINE_MILE_2","23744","15.17","-0.41","-0.5","1"
"2020/01/02 20:00:00","GINNA____","23603","14.88","-0.81","-0.73","1"
"2020/01/02 20:00:00","INDIAN POINT___2","23530","22.36","1.32","-6.09","1"
"2020/01/02 20:00:00","INDIAN POINT___3","23531","22.43","1.3","-6.17","1"
"2020/01/02 20:00:00","NINE_MILE_1","23575","14.99","-0.36","-0.39","1"
"2020/01/02 20:00:00","NINE_MILE_2","23744","14.99","-0.36","-0.39","1"
"2020/01/02 21:00:00","GINNA____","23603","14.41","-0.87","-0.6","1"
"2020/01/02 21:00:00","INDIAN POINT___2","23530","20.97","1.29","-5.01","1"
"2020/01/02 21:00:00","INDIAN POINT___3","23531","21.02","1.28","-5.08","1"
"2020/01/02 21:00:00","NINE_MILE_1","23575","14.63","-0.37","-0.32","1"
"2020/01/02 21:00:00","NINE_MILE_2","23744","14.63","-0.37","-0.32","1"
"2020/01/02 22:00:00","GINNA____","23603","10.98","-0.65","-0.96","1"
"2020/01/02 22:00:00","INDIAN POINT___2","23530","19.49","0.88","-7.94","1"
"2020/01/02 22:00:00","INDIAN POINT___3","23531","19.58","0.86","-8.05","1"
"2020/01/02 22:00:00","NINE_MILE_1","23575","10.93","-0.26","-0.51","1"
"2020/01/02 22:00:00","NINE_MILE_2","23744","10.93","-0.26","-0.51","1"
"2020/01/02 23:00:00","GINNA____","23603","6.65","-0.29","-1.5","1"
"2020/01/02 23:00:00","INDIAN POINT___2","23530","18.33","0.42","-12.47","1"
"2020/01/02 23:00:00","INDIAN POINT___3","23531","18.5","0.42","-12.63","1"
"2020/01/02 23:00:00","NINE_MILE_1","23575","6.13","-0.12","-0.81","1"
"2020/01/02 23:00:00","NINE_MILE_2","23744","6.13","-0.12","-0.8","1"
"2020/01/03 00:00:00","GINNA____","23603","6.47","-0.26","-1.52","1"
"2020/01/03 00:00:00","INDIAN POINT___2","23530","18.23","0.39","-12.63","1"
"2020/01/03 00:00:00","INDIAN POINT___3","23531","18.39","0.38","-12.8","1"
"2020/01/03 00:00:00","NINE_MILE_1","23575","5.91","-0.11","-0.82","1"
"2020/01/03 00:00:00","NINE_MILE_2","23744","5.91","-0.11","-0.81","1"
"2020/01/03 01:00:00","GINNA____","23603","6.26","-0.28","-1.42","1"
"2020/01/03 01:00:00","INDIAN POINT___2","23530","17.28","0.36","-11.81","1"
"2020/01/03 01:00:00","INDIAN POINT___3","23531","17.44","0.36","-11.97","1"
"2020/01/03 01:00:00","NINE_MILE_1","23575","5.76","-0.12","-0.76","1"
"2020/01/03 01:00:00","NINE_MILE_2","23744","5.76","-0.12","-0.76","1"
"2020/01/03 02:00:00","GINNA____","23603","6.1","-0.28","-1.26","1"
"2020/01/03 02:00:00","INDIAN POINT___2","23530","15.96","0.35","-10.49","1"
"2020/01/03 02:00:00","INDIAN POINT___3","23531","16.1","0.35","-10.63","1"
"2020/01/03 02:00:00","NINE_MILE_1","23575","5.68","-0.12","-0.68","1"
"2020/01/03 02:00:00","NINE_MILE_2","23744","5.68","-0.12","-0.68","1"
"2020/01/03 03:00:00","GINNA____","23603","6.08","-0.27","-1.23","1"
"2020/01/03 03:00:00","INDIAN POINT___2","23530","15.73","0.35","-10.26","1"
"2020/01/03 03:00:00","INDIAN POINT___3","23531","15.87","0.35","-10.4","1"
"2020/01/03 03:00:00","NINE_MILE_1","23575","5.66","-0.12","-0.66","1"
"2020/01/03 03:00:00","NINE_MILE_2","23744","5.66","-0.12","-0.66","1"
"2020/01/03 04:00:00","GINNA____","23603","6.14","-0.27","-1.28","1"
"2020/01/03 04:00:00","INDIAN POINT___2","23530","16.12","0.35","-10.65","1"
"2020/01/03 04:00:00","INDIAN POINT___3","23531","16.27","0.35","-10.79","1"
"2020/01/03 04:00:00","NINE_MILE_1","23575","5.69","-0.12","-0.69","1"
"2020/01/03 04:00:00","NINE_MILE_2","23744","5.69","-0.12","-0.69","1"
"2020/01/03 05:00:00","GINNA____","23603","7.53","-0.33","-1.3","1"
"2020/01/03 05:00:00","INDIAN POINT___2","23530","17.82","0.47","-10.78","1"
"2020/01/03 05:00:00","INDIAN POINT___3","23531","17.95","0.47","-10.92","1"
"2020/01/03 05:00:00","NINE_MILE_1","23575","7.12","-0.14","-0.7","1"
"2020/01/03 05:00:00","NINE_MILE_2","23744","7.11","-0.14","-0.69","1"
"2020/01/03 06:00:00","GINNA____","23603","10.78","-0.53","-1.26","1"
"2020/01/03 06:00:00","INDIAN POINT___2","23530","21.22","0.67","-10.49","1"
"2020/01/03 06:00:00","INDIAN POINT___3","23531","21.36","0.67","-10.63","1"
"2020/01/03 06:00:00","NINE_MILE_1","23575","10.51","-0.22","-0.68","1"
"2020/01/03 06:00:00","NINE_MILE_2","23744","10.51","-0.22","-0.68","1"
"2020/01/03 07:00:00","GINNA____","23603","14.69","-0.75","-0.75","1"
"2020/01/03 07:00:00","INDIAN POINT___2","23530","22.14","1.18","-6.27","1"
"2020/01/03 07:00:00","INDIAN POINT___3","23531","22.22","1.18","-6.36","1"
"2020/01/03 07:00:00","NINE_MILE_1","23575","14.75","-0.34","-0.41","1"
"2020/01/03 07:00:00","NINE_MILE_2","23744","14.77","-0.32","-0.4","1"
"2020/01/03 08:00:00","GINNA____","23603","15.76","-0.8","-0.57","1"
"2020/01/03 08:00:00","INDIAN POINT___2","23530","22.19","1.46","-4.74","1"
"2020/01/03 08:00:00","INDIAN POINT___3","23531","22.25","1.46","-4.81","1"
"2020/01/03 08:00:00","NINE_MILE_1","23575","15.91","-0.38","-0.31","1"
"2020/01/03 08:00:00","NINE_MILE_2","23744","15.91","-0.38","-0.31","1"
"2020/01/03 09:00:00","GINNA____","23603","15.54","-0.78","-0.63","1"
"2020/01/03 09:00:00","INDIAN POINT___2","23530","22.43","1.52","-5.21","1"
"2020/01/03 09:00:00","INDIAN POINT___3","23531","22.5","1.52","-5.28","1"
"2020/01/03 09:00:00","NINE_MILE_1","23575","15.59","-0.44","-0.34","1"
"2020/01/03 09:00:00","NINE_MILE_2","23744","15.59","-0.44","-0.34","1"
"2020/01/03 10:00:00","GINNA____","23603","16.53","-0.83","-0.4","1"
"2020/01/03 10:00:00","INDIAN POINT___2","23530","22.47","1.64","-3.87","1"
"2020/01/03 10:00:00","INDIAN POINT___3","23531","22.51","1.63","-3.93","1"
"2020/01/03 10:00:00","NINE_MILE_1","23575","16.71","-0.49","-0.25","1"
"2020/01/03 10:00:00","NINE_MILE_2","23744","16.71","-0.49","-0.25","1"
"2020/01/03 11:00:00","GINNA____","23603","16.46","-0.85","-0.39","1"
"2020/01/03 11:00:00","INDIAN POINT___2","23530","22.34","1.68","-3.74","1"
"2020/01/03 11:00:00","INDIAN POINT___3","23531","22.37","1.66","-3.79","1"
"2020/01/03 11:00:00","NINE_MILE_1","23575","16.67","-0.49","-0.24","1"
"2020/01/03 11:00:00","NINE_MILE_2","23744","16.67","-0.49","-0.24","1"
"2020/01/03 12:00:00","GINNA____","23603","16.44","-0.79","-0.35","1"
"2020/01/03 12:00:00","INDIAN POINT___2","23530","22","1.67","-3.45","1"
"2020/01/03 12:00:00","INDIAN POINT___3","23531","22.03","1.66","-3.5","1"
"2020/01/03 12:00:00","NINE_MILE_1","23575","16.61","-0.49","-0.22","1"
"2020/01/03 12:00:00","NINE_MILE_2","23744","16.61","-0.49","-0.22","1"
"2020/01/03 13:00:00","GINNA____","23603","15.13","-0.83","-0.61","1"
"2020/01/03 13:00:00","INDIAN POINT___2","23530","21.87","1.47","-5.04","1"
"2020/01/03 13:00:00","INDIAN POINT___3","23531","21.92","1.46","-5.11","1"
"2020/01/03 13:00:00","NINE_MILE_1","23575","15.22","-0.46","-0.33","1"
"2020/01/03 13:00:00","NINE_MILE_2","23744","15.22","-0.46","-0.32","1"
"2020/01/03 14:00:00","GINNA____","23603","15.03","-0.87","-0.57","1"
"2020/01/03 14:00:00","INDIAN POINT___2","23530","21.54","1.47","-4.73","1"
"2020/01/03 14:00:00","INDIAN POINT___3","23531","21.59","1.46","-4.79","1"
