hour,price
1,12.04734809
2,19.80486163
3,17.17377484
4,28.53861959
5,23.56850146
6,11.56114826
7,11.47892285
8,11.46020802
9,24.52895772
10,21.74830362
11,21.42334569
12,26.16637124
13,28.76146129
14,13.28686236
15,32.86691123
16,13.99111904
17,21.97716336
18,23.76389941
19,23.84949333
20,16.64057016
21,56.25472341
22,38.53853157
23,13.41769365
24,13.82819849
25,22.49367623
26,20.57530006
27,13.28122282
28,14.16757422
29,24.93162034
30,27.60173754
31,45.59860408
32,35.21415846
33,51.54938731
34,23.82138911
35,25.76217934
36,19.59133858
37,12.8710281
38,12.60248107
39,43.59813185
40,19.00166738
41,11.56949364
42,13.12764796
43,57.01260282
44,12.00816189
45,10.10475993
46,22.69050493
47,17.38196807
48,19.38984902
49,21.69584639
50,20.21795874
51,22.5753985
52,12.42465457
53,22.55314395
54,23.35647083
55,12.90189522
56,82.44792534
57,25.90675501
58,26.71766492
59,29.50701501
60,19.70696893
61,35.5382979
62,19.24818258
63,27.94817574
64,23.66080468
65,18.63923008
66,81.31984236
67,23.86432369
68,25.42393539
69,10.19935491
70,17.29267578
71,7.31295846
72,13.11562321
73,23.25019976
74,19.18296007
75,55.57305115
76,40.55412143
77,52.47386222
78,8.016190214
79,19.92444979
80,29.19550527
81,13.90765254
82,26.02225001
83,11.66195755
84,15.26159062
85,23.31424035
86,13.99424563
87,41.36264123
88,19.42259254
89,16.17425939
90,32.21149953
91,22.52511063
92,19.03780096
93,8.589520776
94,14.00363838
95,26.29744604
96,25.05122871
97,18.74017532
98,-0.779170525
99,9.812664967
100,21.86396336
101,14.19348971
102,27.12580507
103,25.44763684
104,16.38600138
105,30.03963687
106,22.26025453
107,28.67728083
108,13.56402717
109,16.89411728
110,12.6144028
111,21.63622327
112,13.23855289
113,13.23064982
114,19.96289953
115,19.99344037
116,19.56752724
117,21.4941513
118,25.03837942
119,40.60771583
120,15.31328792
121,23.80941405
122,21.30472336
123,15.7819957
124,27.58641358
125,18.09245136
126,12.01208404
127,16.99112201
128,19.50772097
129,22.22273432
130,32.92988885
131,19.24547865
132,21.21485443
133,17.91155429
134,23.03668953
135,30.49309912
136,20.20526414
137,17.36443205
138,48.67900108
139,40.68280285
140,28.24915247
141,22.50260613
142,12.60505516
143,9.309802526
144,26.43221577
145,52.55236824
146,16.25945453
147,13.72401395
148,39.96461101
149,27.41146996
150,22.61461011
151,21.05110488
152,50.64713709
153,29.75569262
154,25.16026218
155,13.3851402
156,26.64733016
157,23.9758456
158,22.73041177
159,19.95380884
160,24.98689245
161,14.09287917
162,13.61463279
163,15.38989064
164,21.78634707
165,19.02780072
166,12.28383391
167,8.342676439
168,19.62894835
169,31.4781783
170,28.18370083
171,17.87281883
172,111.0253908
173,22.07733921
174,10.13117893
175,23.26134454
176,20.37916089
177,39.75341239
178,20.51660618
179,21.44965879
180,19.72563101
181,13.95489262
182,8.6231842
183,22.85476795
184,20.32327653
185,21.51599908
186,19.86335296
187,24.36931506
188,47.06950296
189,20.60990714
190,24.17143022
191,26.73659123
192,25.17324008
193,22.29428884
194,25.47487482
195,30.49136939
196,22.31568646
197,29.30187361
198,23.95283198
199,23.28613654
200,25.36454457
201,22.11284952
202,20.19071745
203,20.84566572
204,21.50478912
205,37.41710934
206,27.90119159
207,20.44302874
208,21.13794233
209,39.97867636
210,19.06787573
211,33.38050043
212,32.63655873
213,13.74600427
214,23.20895115
215,23.42441655
216,10.68258925
217,20.40468705
218,14.10557748
219,19.62017516
220,24.54226825
221,13.01123266
222,20.97600795
223,21.49573639
224,16.64568299
225,16.82989668
226,13.01070604
227,22.453806
228,16.16491498
229,17.37585714
230,24.78392947
231,16.17420653
232,21.49095724
233,19.65812369
234,21.57815499
235,17.67082157
236,19.80139915
237,13.69228006
238,13.27814526
239,10.82042289
240,15.44663949
241,12.55817044
242,25.63705285
243,21.38216333
244,13.96577457
245,19.81231789
246,7.803410399
247,58.98157077
248,24.17588914
249,29.46944942
250,10.6998501
251,16.77065802
252,19.41198809
253,20.60007466
254,11.10601299
255,8.628324013
256,18.41879615
257,24.80339849
258,8.645967567
259,53.07727679
260,20.06235463
261,20.01640856
262,13.85162624
263,20.8220113
264,25.27774857
265,21.25307895
266,39.66959468
267,8.640593731
268,22.44053713
269,39.46875241
270,39.91666569
271,32.47977246
272,24.16808883
273,20.50557289
274,698.3323513
275,26.12333708
276,22.00747915
277,22.6096298
278,12.32927216
279,13.55764201
280,29.58974935
281,24.4627354
282,50.03830207
283,19.30080838
284,13.11398221
285,10.2012174
286,8.727575803
287,22.40805852
288,9.793910154
289,20.10919347
290,13.56245857
291,32.52857415
292,19.05778034
293,21.38163269
294,23.41466376
295,39.00315388
296,40.56067948
297,31.58561286
298,20.94795328
299,28.70032085
300,25.28482499
301,19.43644682
302,28.81836131
303,28.5743143
304,22.90019782
305,25.12317065
306,22.25267425
307,14.49039601
308,20.30179732
309,161.0061953
310,13.38525083
311,24.48583737
312,25.14908183
313,23.07769362
314,13.15164271
315,12.91288639
316,23.02252077
317,8.283659903
318,32.41835284
319,18.81792917
320,20.95282748
321,22.29900498
322,2.511723527
323,18.22029567
324,25.55569759
325,8.331401886
326,19.86956331
327,19.07617676
328,14.41606371
329,21.47440224
330,11.33175814
331,19.72476093
332,19.03005503
333,12.61133204
334,21.9131406
335,14.60629403
336,48.7668379
337,12.45385302
338,12.03595067
339,8.603240379
340,8.695674055
341,24.16091086
342,25.02856062
343,21.14677067
344,19.1193795
345,8.686684447
346,39.4251229
347,23.58094549
348,25.45262889
349,20.33045571
350,13.25864765
351,8.137369357
352,29.98736706
353,29.92435984
354,7.848727965
355,12.50147228
356,24.9314536
357,16.91151593
358,12.20065154
359,20.07686922
360,12.04247507
361,21.18926048
362,21.63098306
363,12.63965554
364,11.83064835
365,11.89830585
366,11.36915528
367,18.94475834
368,20.49782661
369,17.412502
370,14.15025236
371,18.39528769
372,20.67523743
373,21.6361984
374,13.02401747
375,22.88515634
376,37.41193945
377,15.92693664
378,27.4605661
379,12.63139613
380,32.29104505
381,10.20290601
382,21.24085271
383,26.01362963
384,23.90716807
385,23.97162132
386,21.21627008
387,33.31011752
388,34.42574903
389,20.30009446
390,25.17900785
391,28.67040152
392,13.5799885
393,13.61013272
394,25.44972976
395,8.006719544
396,38.4223289
397,25.16124077
398,8.6811317
399,23.62696568
400,10.8030476
401,21.63269232
402,21.80735375
403,15.49308999
404,40.22556903
405,31.80315081
406,11.54121815
407,23.80121693
408,11.80563859
409,22.46669305
410,10.0504989
411,20.95767166
412,22.70743251
413,21.35576424
414,26.49280919
415,13.76909255
416,21.56199048
417,12.85370143
418,18.98254808
419,21.82267201
420,35.92819931
421,84.61900549
422,25.21448969
423,24.27212611
424,28.36746249
425,22.02410774
426,22.84449673
427,19.0397832
428,20.93446722
429,16.30471505
430,25.97618881
431,79.53232312
432,28.14243623
433,26.57102675
434,10.0772417
435,20.93875726
436,138.162126
437,14.83937856
438,22.70286067
439,12.51902658
440,56.72028432
441,8.603031979
442,8.746145559
443,19.93864128
444,12.84863218
445,27.68167083
446,13.76301382
447,25.72365161
448,11.75593731
449,12.97284885
450,12.95956379
451,14.81761265
452,11.31268768
453,18.1625765
454,14.87758664
455,29.92796028
456,8.54137727
457,17.27050459
458,8.603050767
459,26.0562666
460,21.55512019
461,13.0350649
462,12.21324262
463,8.434729132
464,8.779333861
465,21.51823003
466,21.34599981
467,14.98945619
468,13.95766735
469,22.92044178
470,27.71304708
471,13.9150106
472,28.53803289
473,18.5451783
474,20.22350814
475,11.38425482
476,11.30289764
477,17.30206186
478,13.10072636
479,20.50923255
480,19.92806591
481,19.34928286
482,12.44076504
483,12.21235724
484,40.31867702
485,18.13221496
486,13.07943332
487,22.69032123
488,22.9913568
489,16.81764595
490,12.91713034
491,26.26335204
492,18.71325845
493,22.40529582
494,20.87739725
495,13.72975199
496,14.19331336
497,19.47984522
498,27.95418784
499,22.57350497
500,19.93990969
501,20.19984507
502,27.89388084
503,10.33080516
504,42.23903419
505,13.35270623
506,19.14368518
507,19.2992874
508,11.58802222
509,22.50307899
510,27.73825604
511,14.11346288
512,22.17653798
513,12.66118111
514,12.76295862
515,21.76698794
516,52.0939756
517,50.43853138
518,22.19231667
519,19.13341228
520,13.36781301
521,20.54897749
522,20.13732791
523,18.18833463
524,13.67175589
525,20.65857011
526,13.7540421
527,21.92905437
528,14.19202291
529,21.41027551
530,12.52068518
531,19.68401197
532,8.081523591
533,19.40636432
534,11.25464273
535,38.74081329
536,28.35811188
537,117.245079
538,21.82285599
539,16.99141825
540,25.93123022
541,13.55025963
542,13.68589452
543,21.86208709
544,21.5829594
545,26.8136924
546,24.03051311
547,41.25837015
548,19.97827835
549,24.69359822
550,21.78297443
551,19.81596974
552,11.43184286
553,49.08994647
554,29.99072032
555,104.2812956
556,25.57871765
557,22.57672166
558,23.26494272
559,18.71327038
560,20.14644874
561,28.94659467
562,32.56725928
563,23.9952934
564,19.17813701
565,19.60507773
566,24.72652074
567,20.41309609
568,20.34761546
569,19.32375634
570,38.53622765
571,27.03750093
572,17.19456932
573,29.20380948
574,14.46302939
575,-29.23670665
576,20.60787013
577,21.89993723
578,22.94464881
579,41.95184669
580,19.12807581
581,21.6949147
582,18.6600222
583,20.30907561
584,18.54514974
585,18.22355946
586,16.86439318
587,10.28848083
588,20.12600209
589,13.7950193
590,24.20445945
591,20.64540561
592,26.39576979
593,22.92666681
594,15.71353067
595,22.89927715
596,13.67158725
597,22.09941651
598,28.59590897
599,25.3064089
600,23.23219311
601,13.3061079
602,17.23797112
603,13.21710478
604,49.54976088
605,19.62727815
606,14.1858207
607,25.02508903
608,19.15181577
609,23.837926
610,55.86183439
611,29.94820941
612,29.41325335
613,23.98569696
614,14.16447169
615,11.9851195
616,18.42840527
617,30.54012426
618,16.37717283
619,19.0029172
620,15.12521304
621,26.93885345
622,21.1577355
623,33.32960049
624,54.21295247
625,19.75357762
626,14.68897987
627,13.65620835
628,14.23961636
629,26.14990746
630,21.01801862
631,21.62497154
632,18.21465598
633,41.50992717
634,17.37764615
635,21.55499528
636,15.28593967
637,36.08299347
638,13.27134697
639,233.9136115
640,99.57750891
641,22.15706705
642,22.5872059
643,11.87983527
644,13.96168063
645,16.22625271
646,15.90277084
647,64.37511281
648,21.57638236
649,20.38454501
650,10.6143519
651,8.740983669
652,21.73318457
653,9.412471703
654,19.01856713
655,11.40789723
656,22.49585036
657,13.85948557
658,20.53936713
659,8.115908926
660,21.69934504
661,40.73270323
662,14.14637615
663,26.01272181
664,20.14149099
665,12.94540579
666,15.59791796
667,28.38345567
668,33.98909873
669,10.23368693
670,41.35861571
671,22.61459095
672,12.22750168
673,37.76238536
674,29.17670318
675,25.32899818
676,29.00917839
677,13.82896505
678,33.59949115
679,24.36493408
680,22.15565698
681,12.73856952
682,33.80207997
683,21.98772789
684,24.6640143
685,32.14819051
686,25.29203737
687,3.281502216
688,27.16891268
689,25.33038683
690,8.268333511
691,31.74997583
692,39.62858768
693,22.45938685
694,11.81717222
695,11.58739979
696,20.18838709
697,13.60778794
698,19.0218329
699,20.80271406
700,12.79359093
701,9.111186379
702,13.52523664
703,11.69261589
704,10.18910895
705,8.080513467
706,24.54177137
707,24.73853851
708,13.81946042
709,8.627089164
710,16.21267584
711,12.68507116
712,40.84563088
713,24.26816043
714,11.58906914
715,19.4685754
716,73.89291231
717,13.51047346
718,13.84808747
719,8.058159972
720,28.35131859
721,24.09363262
722,10.46350558
723,21.38604158
724,19.58442459
725,19.23050469
726,21.31431366
727,12.3406783
728,11.955507
729,12.09371094
730,18.9203233
731,11.63247872
732,32.09783609
733,22.53966766
734,22.89372065
735,22.36692442
736,14.84511973
737,15.99717089
738,22.99977043
739,41.3257972
740,20.30454635
741,17.86574874
742,23.85873014
743,16.27917436
744,13.89678761
745,13.11090742
746,53.08651415
747,24.45170014
748,21.46619313
749,23.86604986
750,21.99219156
751,50.38899102
752,54.13858229
753,35.80107104
754,13.81935692
755,23.41928345
756,20.06949927
757,13.23518642
758,11.92315943
759,19.11676886
760,8.040321269
761,70.26563129
762,27.37398449
763,52.7587861
764,13.76612041
765,11.11745425
766,22.40338805
767,12.87464298
768,12.94621134
769,41.12790495
770,9.880723244
771,12.1332028
772,24.04195558
773,24.02282747
774,15.55991585
775,10.46811895
776,16.01661828
777,13.34896816
778,24.17214965
779,26.36258463
780,24.69914447
781,23.35224655
782,11.82300651
783,18.01993717
784,24.74582122
785,11.52457339
786,88.33425511
787,13.4139222
788,14.65393178
789,25.28610896
790,19.42563631
791,23.38308899
792,26.64951379
793,13.41747587
794,16.81324456
795,75.0478269
796,81.24255135
797,26.28929273
798,21.40060488
799,14.08133081
800,17.28954169
801,21.98272009
802,10.96305715
803,21.83908583
804,21.16662984
805,57.84853466
806,41.1142256
807,53.83624586
808,33.93010681
809,55.60122171
810,28.74166149
811,12.60784173
812,12.6919775
813,23.86181237
814,23.0491353
815,11.68209232
816,35.65856928
817,11.81656197
818,13.2973659
819,12.79046126
820,14.18673181
821,63.8411322
822,20.14200622
823,26.90594285
824,15.46492425
825,16.55089644
826,13.29274841
827,22.18251141
828,7.57754876
829,8.738472104
830,19.35139492
831,28.88671316
832,21.85548722
833,22.78536671
834,13.47083701
835,13.19685168
836,22.80883234
837,13.39984609
838,15.55030425
839,14.81288349
840,11.22128294
841,10.89603794
842,19.43755586
843,17.35217773
844,23.30187798
845,16.16896395
846,19.97050596
847,19.14092644
848,19.78751555
849,12.94219739
850,29.61651433
851,13.64942961
852,19.16990526
853,19.87423568
854,15.32661469
855,14.99555642
856,12.90651957
857,19.41400618
858,13.75699672
859,28.5327638
860,19.95725735
861,21.65154625
862,21.18734875
863,14.14893606
864,22.76408862
865,21.40666919
866,20.43392481
867,19.07882843
868,18.54304688
869,22.36515602
870,8.386554653
871,13.63820002
872,13.97592968
873,29.94439982
874,22.8495265
875,24.91060487
876,19.34839141
877,13.63666504
878,26.37878477
879,7.722219466
880,25.13064957
881,29.56938031
882,39.80511179
883,23.56511078
884,30.36419706
885,19.99154123
886,26.58409425
887,21.00885297
888,21.52130073
889,19.87243275
890,12.9507349
891,12.70682148
892,13.77683497
893,14.10230417
894,14.1881683
895,12.7966452
896,16.47446736
897,12.56475857
898,20.01521363
899,7.307669409
900,19.45551765
901,45.99272509
902,8.650938082
903,20.55953495
904,18.15862493
905,25.47847853
906,15.79222832
907,22.66635631
908,21.89825024
909,23.36136139
910,22.48560952
911,21.98130708
912,10.78397666
913,20.56021994
914,27.55728182
915,21.84363792
916,19.68134487
917,13.1355302
918,50.24243089
919,30.32041138
920,38.92394933
921,26.22436743
922,21.7412361
923,20.16431509
924,34.50248727
925,20.247493
926,19.00723111
927,8.488714048
928,27.69778855
929,18.93643524
930,21.01984859
931,24.75411704
932,21.47131978
933,27.78379101
934,21.33563085
935,19.16122213
936,15.30465621
937,16.32687652
938,30.03633597
939,13.13356249
940,21.2070292
941,20.41149921
942,33.99678405
943,21.53748966
944,43.41905901
945,39.69891772
946,13.51080382
947,16.89922791
948,19.47777949
949,20.30277209
950,16.83948032
951,19.64276278
952,11.93312341
953,14.75388225
954,14.15161229
955,21.95809358
956,40.19996649
957,22.12726821
958,25.69158178
959,22.61143955
960,21.09901817
961,20.15508972
962,20.64354762
963,20.04857876
964,22.63378996
965,21.90002032
966,18.96246256
967,18.36232962
968,19.35089025
969,12.0573541
970,19.42128368
971,29.08790571
972,20.46104408
973,21.20618389
974,18.12465177
975,16.06239796
976,26.84073729
977,59.80589786
978,26.16165365
979,19.08554424
980,19.57728155
981,17.05010106
982,34.78873876
983,19.49569482
984,43.78543379
985,22.85862319
986,14.76353119
987,21.18357874
988,10.59493967
989,19.67413347
990,26.24644674
991,15.14447401
992,13.89889727
993,19.58608971
994,20.58626355
995,20.62054563
996,21.82986712
997,9.914269713
998,21.95999697
999,21.75996147
1000,30.43052932
1001,33.69424535
1002,20.57855866
1003,14.24648355
1004,951.19
1005,25.3441009
1006,19.95822042
1007,15.06958606
1008,11.95770454
1009,11.05570825
1010,11.37209182
1011,25.26140578
1012,29.19005985
1013,13.98781875
1014,20.68186922
1015,10.36762924
1016,11.27099155
1017,24.19380495
1018,24.4166249
1019,19.85973502
1020,11.97614148
1021,33.00368966
1022,22.97732661
1023,13.78041372
1024,32.81700729
1025,40.15109493
1026,12.25538379
1027,23.01936316
1028,21.01812202
1029,12.37561016
1030,11.85079113
1031,17.48632319
1032,19.58144057
1033,17.30626508
1034,26.4427637
1035,19.91696167
1036,82.97110704
1037,13.34326387
1038,38.9552543
1039,185.3858295
1040,19.86368434
1041,19.28078892
1042,35.88411827
1043,27.7472491
1044,24.89279381
1045,21.77603264
1046,22.28893177
1047,7.430792191
1048,28.70747773
1049,21.60477059
1050,18.11431519
1051,25.4939898
1052,7.585130622
1053,26.68590035
1054,25.31038228
1055,8.619437078
1056,32.66251459
1057,37.72234899
1058,21.04311507
1059,24.72983768
1060,12.28326619
1061,13.0356015
1062,12.98017835
1063,21.10240374
1064,12.07880489
1065,21.40236254
1066,14.35306648
1067,22.72062818
1068,11.96641915
1069,57.6698767
1070,58.69436438
1071,21.8463253
1072,11.77623711
1073,13.09430328
1074,12.49840179
1075,31.11915725
1076,22.14269601
1077,13.94994688
1078,23.1880434
1079,22.43342882
