,wind_mw,pem_mw,pem_bid,e_revenue,h_revenue,NPV,freq_day_0,freq_day_1,freq_day_2,freq_day_3,freq_day_4,freq_day_5,freq_day_6,freq_day_7,freq_day_8,freq_day_9,freq_day_10,freq_day_11,freq_day_12,freq_day_13,freq_day_14,freq_day_15,freq_day_16,freq_day_17,freq_day_18,freq_day_19
0,847.0,127.05,15.0,19158663.43491019,23238829.074057445,-125035673.79722707,0.028805356488622202,0.06321701778722105,0.4277292223133863,0.0033451558528856972,0.00042835686482245683,0.040982055312440216,0.07815352175949701,0.0008683399590846246,0.006995244301876182,0.00044698309838201377,0.02756024550154978,7.447527111135476e-05,0.017609542170912592,0.0003099506612122509,0.04943299041303936,0.12372244691027258,0.023911815862872565,0.00604109739520805,0.034059926591471966,0.07338640756147713
1,847.0,148.225,15.0,19379647.01030705,25588094.409052838,-130092176.66858765,0.02570866692691989,0.05658468641572881,0.42742684988663043,0.004462617087134895,0.00010342602344841909,0.04048294260853987,0.0778160791462934,0.0007427814623497536,0.007268270568469766,0.00042775479278995556,0.024213741172379608,0.002542747507290564,0.017917842744258925,0.0001872010129664754,0.050199439466075024,0.12474691508562563,0.02422205668064952,0.01231866248698561,0.03412962743598351,0.07339246592280262
2,847.0,169.4,15.0,19654057.6065923,28221374.773401383,-131349830.04746827,0.022994135015510973,0.04890038012680621,0.4269438086820151,0.005452908768262691,5.9574758082799784e-05,0.040046328833358555,0.07710650203841099,0.0005668083350052486,0.007094320839688418,0.0003321196483429352,0.021436968534982476,0.009343807169176254,0.01873310838448146,0.0001300245842339417,0.05081599184399709,0.12518404816043305,0.025009019062000766,0.01856418017043,0.03414519650946081,0.07296690823779957
3,847.0,190.57500000000002,15.0,19975392.034047894,29716692.84701826,-144890158.0231098,0.021040378366736393,0.04120489034665822,0.4266641620509213,0.005968717895814572,6.294076832649568e-05,0.0398497236920462,0.0765804351379145,0.0004502348257705293,0.006505195137575627,0.00021257267971409462,0.019174585518509927,0.016280476647276925,0.01999501106966628,0.00014484531734163417,0.05090965183627201,0.12493397366565397,0.02573916751364562,0.023234092033325448,0.03371098167406181,0.07102449731155315
4,847.0,211.75,15.0,20334208.321962975,30290163.836112544,-168386478.0874502,0.019920473771091112,0.03354564827125082,0.42674292192179875,0.005711709364739005,0.0016425347215492296,0.04023424632955389,0.0764559743595763,0.00035155998643912373,0.006130090359735626,0.0001242580112272803,0.01687041436779648,0.02353270174002857,0.021960855356944475,0.0004209031521272688,0.05016311417449986,0.12424761216022578,0.026247598834046718,0.025239609553332144,0.03209720883660938,0.06499832528865215
5,847.0,232.925,15.0,20718523.98547831,32512871.56538351,-173028981.80346295,0.02059902760634063,0.029946067998621432,0.42676215817513463,0.005581411230820905,0.02654864037585976,0.041005237266500044,0.07675700254410443,0.00016084620224316942,0.01176892080974534,8.569745490779018e-05,0.011648359551292373,0.030733699667742826,0.024295097455367284,0.0008272164204237595,0.04955284563673427,0.12394270924637805,0.026622931965697174,0.024388855707078206,0.024979577556209328,0.04476295904065263
6,847.0,254.10000000000002,15.0,21114557.1704394,36270006.87656876,-160265318.92881104,0.022766133818180132,0.03381482023276861,0.42689131837318073,0.008819516265067951,0.06710592266341955,0.0340356011178597,0.07836882926838995,0.0005998346676566811,0.02250686014386753,0.003345745078201661,0.0056257091878089685,0.03322461343332029,0.021485576452648474,0.0008380135953114958,0.050057644809634816,0.12548023403369776,0.026182354799389723,0.021620052442000406,0.011986634216291547,0.01657422653567097
7,847.0,275.27500000000003,15.0,21507750.97442459,39104248.1991128,-157923361.76281172,0.02244390587234484,0.03567050788104217,0.427449412855687,0.015859863513274373,0.07715019552228113,0.01352468556469918,0.07967814006399908,0.00805240644690023,0.022782721625807283,0.02157451279114428,0.005962961867333436,0.0285545772977889,0.01075421254592063,0.0028636413712687823,0.05004527463981187,0.12599541521350902,0.024599378267623092,0.019510615931420887,0.004468156674523432,0.01434369424558866
8,847.0,296.45,15.0,21883932.842471514,40727958.28602733,-169400819.66665816,0.021440383933468973,0.034247659439656755,0.42692224398061385,0.0198175116259701,0.07426795892321662,0.002404624549019111,0.07869496825223396,0.012055489171066315,0.02187574337722918,0.032717647217196964,0.004055889739645662,0.02428409958045797,0.006470900098712466,0.008059735627891237,0.049799903653950116,0.12397022781434267,0.024929933724517857,0.017555419517506467,0.0007211717343665761,0.015010828095001821
9,847.0,317.625,15.0,22230413.571848396,41962449.6669565,-185594386.41977164,0.020978141376665337,0.032948153018163714,0.42661512306046395,0.022108965061152727,0.06361392468859625,0.0002477737843972938,0.07813444140618081,0.014258339981770366,0.019961372303616314,0.03675645199737247,0.004789156224913207,0.019365549123108373,0.006764164279655702,0.018971531142903383,0.049414436686876305,0.12392631125075498,0.024752555870931295,0.017402640231692395,0.0003333080419496877,0.01571519389322247
