,wind_mw,pem_mw,pem_bid,e_revenue,h_revenue,NPV,freq_day_0,freq_day_1,freq_day_2,freq_day_3,freq_day_4,freq_day_5,freq_day_6,freq_day_7,freq_day_8,freq_day_9,freq_day_10,freq_day_11,freq_day_12,freq_day_13,freq_day_14,freq_day_15,freq_day_16,freq_day_17,freq_day_18,freq_day_19
0,847,127.05,15,25895453.51,23252677.05,-49038453.14,0.028894872,0.063540452,0.427766008,0.003281285,0.000457696,0.041029366,0.078182227,0.000852172,0.006983718,0.000439905,0.027718818,6.94E-05,0.017585258,0.000311807,0.049421242,0.123763355,0.023888143,0.005712751,0.034069923,0.07342485
1,847,148.225,15,26108105.52,25580545.2,-54429635.95,0.025751251,0.056872504,0.427467008,0.004410294,0.000105029,0.040526796,0.077844739,0.000729082,0.007275051,0.000424351,0.02431459,0.0023248,0.017889416,0.000187276,0.050192734,0.124809955,0.024190862,0.012066565,0.034140959,0.073441156
2,847,169.4,15,26361020.57,28217432.8,-55888671.97,0.022988026,0.049106338,0.426976041,0.005416874,5.93E-05,0.040088659,0.077115457,0.000552779,0.00710876,0.000330303,0.021495413,0.009191301,0.018713175,0.000128418,0.050824118,0.125266133,0.024992073,0.018411433,0.034164656,0.07303448
3,847,190.575,15,26645768.8,29718210.87,-69779412.09,0.021001253,0.041341088,0.426691423,0.005944659,6.20E-05,0.039893117,0.076573142,0.00043697,0.006517845,0.000211251,0.019209038,0.016197887,0.019986164,0.000141422,0.05093303,0.125026528,0.025733262,0.023152787,0.033733544,0.071100325
4,847,211.75,15,26952845.69,30286249.93,-93919354.45,0.01987072,0.033632868,0.426774955,0.005686456,0.001640893,0.040291776,0.076451337,0.000340707,0.006145814,0.000122897,0.016880541,0.023513662,0.021969127,0.000405145,0.050193761,0.124345333,0.026238665,0.025168763,0.032097423,0.065010356
5,847,232.925,15,27271933.66,32544835.95,-98892267.3,0.02058887,0.030092921,0.426796803,0.005568167,0.027093862,0.041089202,0.076781472,0.000155878,0.011949815,8.43E-05,0.011536975,0.03077728,0.024319986,0.000797274,0.04961043,0.124061309,0.026607028,0.024263884,0.024811183,0.044362028
6,847,254.1,15,27592033.46,36291106.92,-87105754.55,0.022752249,0.033991923,0.426947221,0.00892452,0.067486525,0.033806491,0.078439972,0.000649689,0.022577954,0.003564141,0.005621391,0.033154234,0.021322899,0.000848927,0.050127287,0.12565144,0.026090717,0.021490611,0.011796991,0.016387412
7,847,275.275,15,27901587.85,39086905.73,-86138169.18,0.022377709,0.035777792,0.427500978,0.015979124,0.077081439,0.013224659,0.079747183,0.008153991,0.022744494,0.021889216,0.005937651,0.028406192,0.010572012,0.002979224,0.050123667,0.126137244,0.024488937,0.019349754,0.004331616,0.0144108
8,847,296.45,15,28188786.58,40690234.39,-98846829.79,0.021362214,0.03432049,0.426960792,0.019892056,0.07382823,0.002333957,0.078777035,0.012089173,0.02179096,0.032859219,0.00404364,0.024068675,0.006449756,0.008447964,0.049880754,0.124152447,0.024802979,0.017404869,0.000685918,0.015084337
9,847,317.625,15,28442194.44,41925537.11,-116079056.9,0.020895736,0.03304459,0.426659452,0.022194423,0.062887597,0.000256872,0.078256886,0.014295981,0.019841234,0.036792229,0.004834848,0.019061908,0.006799801,0.019621872,0.04949633,0.124169164,0.024593552,0.017271873,0.000336389,0.015804321
10,847,338.8,15,28651679.32,43575731.21,-129135002,0.020742031,0.032321315,0.426690269,0.024039896,0.052221632,0.000189105,0.078072478,0.016096019,0.018490032,0.038133927,0.006119045,0.015111891,0.007312391,0.030359093,0.049149828,0.124694368,0.024317602,0.017735967,0.000385048,0.016294564
